XGL -> DVU,NVR,IIT,DF,CHH
LDX -> BKV,AOH,IUW,UCV,SJH
OLF -> NBP,ZQQ,BBL,ELV,FUB
PHE -> QAJ,BUH,JDT,LRP,CQ
ELG -> EYZ,QTN,BKU,EKY,PFP
QVH -> OSN,SNO,QTX,CLX,NGC
VHG -> FXR,PTQ,FWJ,UOW,LEO
RDU -> GDO,IRF,KQU,XTX,XOV
AAG -> UTB,BMC,HPB,LK,CSA
CZ  -> CRY,KRK,VGX,TNP,HTY
YL  -> PUJ,CEJ,JAD,FUF,QTL
ZIK -> GDV,JSN,TWH,WHF,MBU
NLF -> HLO,PUV,XLT,MDL,QQV
UAS -> GTX,GUN,OWB,PSN,HHI
UNN -> OKR,WOK,PKH,MHJ,GCJ
MJL -> ZMP,TLO,TID,YPF,QGC
UBX -> PSD,VEH,ZAF,Q,YWM
SLI -> RVA,IZH,ORB,QDL,SLQ
TNI -> HVM,AWZ,IOP,XRR,ONS
RIR -> TTC,JXJ,YRW,LAY,OFV
MYZ -> ZXB,ZHG,IFD,JJY,GPW
GPP -> PBD,CNN,WRT,HJX,WFE
HRI -> KGZ,DYB,PTK,RBY,AKS
RRL -> PYN,ELH,PFN,EZH,QTZ
NPI -> UKP,HTT,GCV,GES,ISQ
DGN -> JYV,GVJ,ZHT,CCS,KUI
EOQ -> MTW,FUM,IRJ,PBF,VXM
AKO -> YSJ,GMV,OX,SFV,FOP
LZS -> YQQ,BQF,JGO,YXN,YVG
AIO -> MAI,UYU,ULI,WW,MNG
XMS -> XDG,NTQ,LDC,LLR,JDR
MTM -> DQH,PSS,USD,VGV,DGY
NCD -> POO,JHQ,FBG,HPN,DIF
KBZ -> JZV,JUM,AUO,LXN,MXW
EWK -> RKJ,FVS,VZC,MHZ,BGI
XXU -> JOP,VMN,IXW,XZJ,AIC
HIO -> WCQ,MZM,FPF,PAN,IDN
UDT -> TOT,JX,KTV,BAG,MKA
BOI -> XUY,ZD,NNQ,MHB,KJB
YTF -> NXO,JLF,FNW,FZP,HOG
JWC -> XSA,SMS,JVA,BDT,FDK
XYN -> YIS,OIV,JOK,BJH,LPI
SRC -> WDX,WVK,EI,NHY,AP
YBC -> DMD,OZY,QPC,BZ,ZVZ
FBS -> PZJ,QGY,BAW,RFK,OPX
JOU -> DLM,ETT,MIR,DLZ,WGK
XUD -> IQJ,ZDR,SSP,KUA,VSK
CEP -> KJK,KPW,LES,ABB,XMQ
XRP -> UVI,LKR,ED,SVF,XTU
KGA -> XDZ,OON,PTK,CDL,BOC
MIS -> PBY,XOX,HBB,WBJ,TXQ
CVV -> PVS,RJD,QTA,NFB,PDR
MAR -> ZGY,LWB,NLW,DYH,KJ
MRN -> OXD,UCW,IOL,VGJ,USP
AHN -> RMX,PFH,LHQ,LDD,EUY
QJE -> YQI,DRB,FCM,BFC,WPA
AXK -> UXF,NHU,ZPZ,PTT,RTG
YMW -> AOU,RMD,KKR,KMD,LR
EGX -> OTD,SIQ,NTT,HPG,OEK
INX -> SSJ,RMU,TTO,FYG,RT
ZEZ -> IXZ,ERW,YAH,LXG,DZN
OKK -> DXV,GBQ,EWG,DUX,OSH
KNU -> WFG,LGO,KDV,PVW,UWI
XEI -> ICK,YVT,FUQ,OBV,NAN
QPT -> IZO,JQX,CXK,RGK,DKT
QAI -> GDB,SFJ,CBI,ZUU,GRT
ODS -> TYM,FHA,SYG,YNF,ZMQ
ADQ -> MEA,MTI,GYI,UAU,WDH
SR  -> FJC,VHG,YZW,QQT,FEP
XTF -> DIP,ZUU,NNU,KJM,SVX
BFQ -> BMR,OQR,UJI,AA,LLX
HUY -> VEM,BJZ,WMT,JRE,RJU
QWS -> BYJ,VKQ,VEO,NPV,AXK
DOR -> ZVM,PJY,RRB,WJA,MSX
QZF -> KV,AMR,YP,KZL,KST
GDA -> UVO,RKR,GGV,PCS,KWE
QRC -> KPK,UNN,NZG,KGI,GZK
ZSJ -> YYT,YSX,BZK,CTB,LG
BBT -> AVO,LPU,XKJ,UHG,PCR
OAN -> KCA,BID,QQY,XVB,BUZ
LBW -> BHH,XHK,KPG,BFN,OTZ
J   -> SSW,SZF,MRJ,KL,JCB
QYL -> QVL,KPF,ML,GSN,BSQ
SFA -> MBP,OGN,LRJ,TQQ,POX
IBU -> LNZ,XVI,JRO,EXK,ZCP
OFR -> AV,OHG,YNR,XIT,CJS
CHX -> LVQ,CL,IZW,WUF,KKP
SGY -> YPE,ERX,DNJ,MTG,HLN
FDN -> VDR,HKA,XFB,VDD,MUE
HYZ -> JXA,O,ZNR,KGX,TQU
VJW -> UPD,MWA,QVG,NRV,AMM
YEB -> JYQ,LXH,GFX,BSG,TWF
ASU -> MQD,XDR,JDN,FBE,OEQ
EVR -> GTT,ZAI,YCR,QPN,WFC
AGK -> ZMX,IVO,WUK,LPF,PXP
EEE -> DYF,KDV,KBD,QZI,FLR
LHS -> UFV,EGX,SV,YZQ,KNK
LNU -> TWG,ETV,NBM,AEB,CGM
RNN -> DEC,MXQ,OXT,YEE,AIO
SC  -> NIU,JBF,YWM,YSC,QRX
JRM -> WMX,IZA,QMZ,HQA,YFS
OPZ -> LHU,KHU,VOL,CMG,ARJ
BJR -> XSI,IWI,IHR,PNW,OH
FTQ -> EFI,LYV,CLM,ZTN,YWO
LBJ -> PXR,XMN,RDE,PPZ,NOE
XZX -> XOP,QOS,NHX,FLI,HKF
AAT -> YGF,XWF,RLF,UD,GMQ
PBL -> XPW,GGH,NER,RNG,KLT
YLF -> YFF,YDH,FOB,AEH,OIT
YFO -> UHI,UTX,NUW,BWR,MDP
ZTA -> YNV,CZF,KWC,NLE,IVV
AOJ -> AQW,TJA,MVS,SAG,CAM
FBM -> LAP,RVY,WBV,WVN,XJL
PRC -> KXI,OAC,GMZ,PGR,ATS
GFT -> NTE,GRK,ORC,WRK,SPS
YEO -> SGH,QUU,CZF,RCQ,NIH
XND -> FKM,CSM,ESK,PPP,LVH
UYT -> WAY,ZJ,UXF,ONN,UTM
NUV -> OSC,DGY,YBI,EKZ,HHA
SUA -> XWU,WRD,HEU,IKG,PZC
ECE -> JNT,YQJ,GRD,GQW,SLI
CJG -> PRT,IFY,UFL,BRJ,XXU
CAI -> USI,BYT,USG,EC,FRH
PYM -> CEM,ETG,GBL,ZIV,ONR
NTF -> TUH,VJH,AB,HAD,QKD
MVM -> XRU,OVD,JQG,KN,QSE
UEW -> AZZ,BJK,VGG,NFT,OOC
RFY -> WRU,JHT,HMV,WRI,RDF
UNA -> XDI,AEP,BDP,JJE,TFU
RNE -> SUM,YVS,IWU,AIS,YO
CZW -> WCC,LXB,WEI,JOQ,IZE
UUL -> ZTQ,ZPL,XWI,TVD,FOM
EHV -> HXR,HRM,ETZ,LXH,TGH
QOW -> VLT,MMJ,TLT,YJK,PMC
LPS -> SJ,JFT,LDJ,OKP,JRL
HUJ -> XLQ,SBS,ZRM,QHG,WKN
CGD -> EYB,HPX,TYN,AMI,SJI
MNO -> MLO,XLO,KTX,OAB,DNT
GYJ -> K,OUA,VED,RDQ,TBU
VVD -> MTF,GRO,MPV,ENN,GGY
YSD -> BQN,AAB,CED,JLT,NNZ
UJ  -> BWP,YFS,CVN,NVN,YQB
AAH -> SZU,LEU,HVD,HOC,BUQ
GJV -> BCK,OUL,WKP,JIQ,YYP
CDL -> RYP,FC,CKE,KFL,FEC
OPL -> RCO,RSA,PJI,FK,OEN
YVG -> TIO,HML,EQA,MFJ,GRI
FAA -> LEW,PSJ,LQA,WG,CWI
RMS -> LPN,ISR,PGJ,YOY,ZYC
ZZJ -> HGK,XAW,RYW,IK,QZP
AGN -> MZI,PLG,TRO,FLU,MDU
KNM -> QL,TYB,FGV,SCN,PXA
RX  -> YO,QYY,CCW,FLG,BPH
ZZG -> ZON,VZU,KZA,XKV,EDW
XUT -> ADC,SZM,PXW,HDT,JSJ
HH  -> OZA,DYS,FPL,QHR,CER
BIB -> TBC,JMR,DSS,HSM,AOS
RWE -> XHN,DLV,DFH,YTU,OS
UVX -> ATW,MUR,GDX,ZRQ,JUO
BOY -> BFS,AN,JYV,FHN,PBG
WIN -> FMV,MFR,NEJ,HZY,GTY
ZAN -> ZOZ,XCG,OG,XAV,GZL
ADZ -> ORY,DLI,IVN,DVK,QUJ
BZP -> AJE,JIC,EPE,KUM,SBC
PH  -> PJS,LXM,QHT,PQJ,FFA
XEQ -> CRU,DND,PJL,ZFJ,DJI
XOA -> KFF,BLM,BI,QGT,GUU
NBD -> VFI,ZFH,BEP,TUG,HIZ
LJZ -> YXR,YXJ,WQR,RCT,NNX
AAJ -> ZBY,KDM,TNA,LMO,HWG
YRV -> RA,SLT,OYD,KBD,GHH
YBE -> HLK,QLA,YAU,XIN,XEL
ZJG -> VIB,ZBJ,LGK,UPC,RXU
GIK -> YAH,PFO,VCR,PHJ,JPT
COT -> DEO,MJD,AKW,FKX,UT
QBI -> DOK,WQO,RVU,GVN,FZX
RKJ -> VAH,QHW,MXX,AKT,PAZ
OXT -> BEG,TUJ,CXT,EHH,NDX
LYO -> CRB,ZFD,RIN,ZFO,ISZ
HTE -> UDF,UHM,CZT,YNK,WPW
ZBI -> XTW,AVP,DFV,DX,YIZ
VXY -> OKK,JK,NTG,QQK,ACV
JSB -> ZZJ,NZG,BJK,QUS,WTF
ZIM -> QIB,EFC,YZD,BEG,VEW
WXX -> KVE,FCJ,ELM,QIA,VZD
GTS -> RRC,GMJ,CRK,PD,YEV
NRG -> JQM,LOS,EUY,RPT,UXT
RXU -> FEN,SSQ,BHV,AEV,JZO
LBZ -> QTA,WSM,FYC,BTY,FJQ
GOY -> WJU,ZNT,NFN,QTK,LDA
EBO -> KYY,SRN,PRY,CMG,EXZ
LRY -> NLA,FXT,MSZ,PP,WUU
HES -> NDE,NSA,LPR,AEU,NDQ
MNN -> TEE,YLQ,EWS,YHA,LJU
TRY -> YLC,UKA,UGO,AFE,JXG
ZGW -> JJO,FEQ,DOK,CSJ,SQJ
HMY -> BI,QMY,AAU,KPG,JFJ
IAA -> VGM,EFF,UJJ,MEK,OBS
AYE -> RPP,IFH,VFX,NTF,JYR
VOA -> IXZ,LBG,TZ,FKE,GGY
YXU -> ZRI,FXM,VAU,WKF,GLW
NAF -> JEZ,SYV,FNU,EZF,ZAG
GDD -> DND,HVV,QMN,XMQ,IQI
KPK -> GAJ,WNS,AQS,CBK,IAO
FTW -> AHQ,QPT,UIZ,IVE,RRF
WPG -> XAK,GCM,OEB,ENT,PSV
INI -> QAQ,YKJ,NYM,XGQ,WAW
DJX -> QAD,LOV,UCH,PYE,HBG
VSP -> XZ,TGX,BPR,BAA,CAW
MYY -> GPQ,EUX,OOL,GEH,XBH
VWY -> OXC,CQD,NUL,CPQ,SPQ
WMN -> RYK,XYE,SVI,GMW,EAI
UJX -> GTV,XJF,BQL,VPZ,UNE
JRR -> MRX,ZXZ,UIG,MDQ,NBM
TTU -> MVO,SOV,WRM,LCE,LNZ
TQX -> YJQ,VBA,JQE,ELF,NCK
AOA -> DMF,LPS,AGN,KAR,RJN
VYV -> PXH,BOU,LAE,DTZ,UJR
NJX -> DPG,YQG,AIU,VPB,BIT
NQR -> MYS,NLS,DEB,RJP,QZB
AMQ -> DXU,DGE,NBE,SGY,UPF
NZO -> SMQ,FAZ,QTX,TIW,GSO
FAJ -> OF,VNQ,WDQ,SR,SEY
CUF -> VQA,PEA,RZN,KBC,MJN
CIH -> FWC,QJI,BWO,TIA,PWL
XCR -> HFK,RIH,YFD,CNK,HMD
NJI -> JKC,ZWL,MAT,PDX,RMC
PIU -> DKS,CAZ,CMA,DBZ,FAV
FZO -> ZNX,KAX,UAV,DXN,AIN
BUX -> RJK,BTN,XBH,JKX,AZP
DEG -> WGB,VMH,IEX,OYG,ORA
DDH -> QG,MDY,NCR,IZ,BMP
PTI -> FBX,AKA,PVX,IDJ,ZCY
PJZ -> IEX,MWW,ZMQ,ATS,FUI
ITQ -> UID,ISS,ED,AUK,TJC
XAN -> DRA,WXH,VWD,VYI,VIU
QFC -> ZYP,YTS,NDU,RAK,AWD
WRY -> QTU,RJF,VBA,ZAH,BOQ
NBO -> FXI,SSL,JNA,SYF,CQJ
KZA -> MPV,JVN,VKQ,MWF,DDT
CGO -> GRA,FS,KUJ,HWI,KIG
MQU -> EX,MZE,CJX,JPG,JYW
LQA -> UIN,RBH,WLP,YII,UZW
AO  -> NTP,UXF,EXT,DF,VOH
YCE -> MK,DIE,AIN,VBF,BDH
CAV -> XIP,OOQ,VNJ,NWY,GOD
YAC -> LQM,IZJ,LFW,LIU,ANH
GYK -> KPX,CLL,PPB,YTM,JFA
TKO -> KM,UNI,XEE,EXP,FWF
MDG -> DZD,WYF,PHY,NZI,UE
DLT -> DXV,OBO,ZLG,TRX,ZAY
CLD -> NSW,GHH,AHD,HZP,FQL
PNO -> HQZ,DA,SZT,NDR,OOA
BAF -> GGY,NCO,GVN,MQA,LJG
ALH -> KHK,RCL,PAD,TFH,MQU
OTY -> BKT,MNP,RNL,MQK,NNG
GBA -> DCF,WTW,CIW,EF,SIR
TNA -> LPM,PTE,UPV,PHZ,EHL
UHG -> KOQ,HVG,OAF,VVP,WIK
HSC -> ENL,HGT,RWR,YJV,BRA
ANJ -> URF,YIC,JZC,KDX,ODO
AMA -> DGE,LBO,IVU,DND,WIV
YUY -> XUS,OAC,FOK,EOI,EYZ
AZR -> JFL,YBL,MEI,DPP,QDJ
LYF -> PRM,HVZ,AZI,WSD,RYR
OMR -> LCQ,BMM,PPK,TDT,HXL
CAR -> GRP,SN,QLW,VYF,VLU
XHY -> CNO,TPN,HZW,MWG,ZDP
XE  -> NFL,VZP,HLP,FIL,UBJ
GOB -> XFB,ZQT,CZA,CIT,ROV
CZB -> ZKG,DME,UNZ,EQY,IZB
NYH -> MME,ZJS,DJA,GRV,JAR
WHN -> QFI,RCS,EQC,DIA,BXC
IXT -> FQF,KTK,ACI,OKW,NO
DZO -> DRG,BUE,LZI,NBX,DGB
WBF -> DSU,TWI,RTE,OZI,UHE
KBG -> XST,TRL,HXQ,YVK,WKW
OWE -> FIU,FGX,WYK,XIB,QTU
RK  -> WFH,NWA,XM,JSP,HXP
WWN -> FB,GPH,XTG,NRH,ARP
DOM -> OHL,KPG,YQK,FAT,AJW
AQR -> WWL,DME,KQM,PHI,IME
OMX -> TAV,ZRR,DAA,QLP,GOR
JGM -> SEG,DLI,ASU,SES,DZL
SMQ -> PLK,OTI,PYR,YIS,KCZ
HCY -> AKZ,RZA,HRX,KQF,HSL
OVL -> RCH,TBB,KXK,FEL,UPD
RPG -> EBB,HQT,CWA,RDR,IJK
MUO -> FFT,KVW,DYK,NYW,JXH
OZ  -> BXI,ZIL,FJX,CKJ,USO
KSM -> DHV,SUW,GWQ,MXE,NHX
SCV -> LCS,CMY,JDZ,OEQ,XJL
MEY -> IPA,GRQ,DFN,IPL,OMY
TZI -> RAQ,CVG,ISZ,CQW,FOL
BCN -> UEY,HGV,BDS,GLB,KAI
EHH -> DME,QJS,IPV,IKE,HBZ
VZU -> AGG,GHQ,KLU,GQB,WIM
CBP -> SYZ,UEZ,EJE,YLC,NHQ
GZQ -> WH,BGA,MTH,YFK,ZPM
EZZ -> ZLA,UPD,EPS,DRY,ALV
TVQ -> XOD,IIQ,LTG,QLX,QOJ
LGV -> IXL,UGP,WUM,LOA,KDE
SCA -> VWR,NTF,ATL,BRV,TED
LEF -> RTN,XZN,BKW,MQN,KXF
FMS -> GET,YYU,YIM,USK,JDF
TAV -> HMT,USD,TZJ,YUZ,DIF
UKR -> EXC,YEF,XHU,LEH,EGQ
THB -> NFB,YNL,DRC,NID,GXJ
JFZ -> BSO,XIM,FLJ,OWM,PQM
RFG -> DJD,BGM,KLY,NNT,UNY
SRF -> CJY,OKX,WIP,BN,TEP
UBY -> QNO,RG,BVP,ANN,OFG
GUU -> FDO,SVP,DKV,DSB,YCJ
MOW -> LGM,BB,HBI,ZSU,LBH
PTT -> BOA,JBF,QNK,XZP,IZD
NVD -> XRJ,ALB,BKJ,OYJ,QWI
ZRE -> QJC,DKP,BIC,YQB,KEI
OZW -> EJH,APT,ZQ,DBY,XXJ
SCQ -> NP,DSF,FSV,KFB,DDU
WAZ -> LRR,MWR,TEB,WGQ,IW
PZP -> SMP,GCF,GMA,IDI,PQF
YLY -> GFB,TSA,VAM,EJF,BRF
GWY -> EFJ,ZCQ,VGJ,TSM,FGD
DGU -> XVW,KWD,TES,ISY,EDA
ONO -> NHU,DBI,NVA,EBJ,FB
TLS -> IT,RMX,YSU,NEO,SBP
AB  -> LHU,MBB,CVF,JRS,EEN
AIE -> UXP,STP,VEE,SEO,HTE
PTQ -> ESI,PRC,FPG,WYL,NHI
QKR -> APF,RUS,NHS,HIV,KHR
BVW -> PBT,OUD,LWL,RSQ,FLN
RKZ -> OAW,UUT,YKW,NVF,ETW
SRI -> GKN,NBL,OHL,KZA,KTN
NMK -> LPJ,NJS,MXT,GCW,KSU
RII -> MYC,ZQL,YAH,NBO,INV
FFD -> PDB,PPQ,ALO,QIN,SFF
SDO -> YUD,MPF,IPJ,EPF,BQJ
WTY -> BRY,GHM,ARF,JRF,XIB
COI -> TRS,HFH,RQM,QMG,IKW
WSS -> QMO,HMR,VNH,HCG,MPV
ZNL -> IAF,SML,RZL,MET,SYD
QVB -> DZJ,INL,RZZ,YLK,ZSQ
JJQ -> UJL,XFA,ANM,YDJ,ERT
GRO -> JMD,NNL,RMU,NEP,XHU
UHT -> FSX,LBN,LJL,TSV,GKQ
FOX -> BMA,RWD,QDK,VWN,DLL
VRR -> BKT,RXM,XND,XZU,DTW
HVO -> YPY,ZGC,RKI,OJS,PRJ
FY  -> AON,NSG,ACA,HFS,EFN
DWF -> MFH,JAR,WJZ,FM,SWE
RKV -> BFA,LTU,AB,GPW,PUZ
EAY -> UG,RTR,SWU,BQ,ZEX
DCG -> PHI,XJR,RLW,VBG,XZQ
BJF -> VQJ,MYH,WYX,VBJ,KVR
UZ  -> KPD,QTS,UZO,TKZ,CSF
CZK -> HXH,XQQ,WFX,QRM,RIS
IOT -> SLW,AGX,NRA,YP,MPR
RVM -> XQG,BFK,PCJ,UIW,BYK
EHA -> NMK,ZMX,KDG,KFD,WOP
RUD -> SBO,JWH,MQF,XXC,XCX
LME -> SMO,LFI,MMU,INH,VHE
QIC -> DKG,LZK,GGS,FFF,WPU
MHF -> PEW,HGX,LBX,EOF,VVO
AUQ -> EQZ,IHC,ALC,DS,WGP
KQG -> THR,YPE,URQ,BGL,XRA
ATL -> FKS,AS,KTA,VJQ,OSZ
HTJ -> ZTX,WHK,LJ,JAK,KPJ
LNY -> ZMZ,XTU,DYA,DZY,BEJ
WKT -> EEE,SNX,VBJ,AZO,BYU
JJE -> NXW,VIT,QHT,JSC,DBI
QTP -> XKB,STC,JKN,RCH,LPZ
UIJ -> EIT,HAM,XWY,LME,DLP
ZYL -> FPP,JCL,ELK,CKH,BJS
AVW -> VNG,QZW,TZM,WTA,CFK
XTE -> WRC,VNI,VZE,JYF,DHK
ZYN -> ZON,MOV,ULF,CJE,VBO
RGE -> BDQ,RHO,BWN,VZ,RPZ
VTO -> RBZ,UKO,MN,JPM,TGU
ZAP -> DGV,BZX,YGJ,LUB,GPI
XJG -> BGV,FGM,TVG,EZA,RNQ
BCW -> GJX,HMC,REB,NLJ,KSZ
MCP -> EGL,XHI,BZX,DSV,ON
BEY -> ETP,TAO,PXE,LMF,GEE
OQR -> JZB,CQM,JZR,KPL,JGX
TBM -> XFA,BNC,IEZ,CLH,SAE
DTK -> RLJ,QIE,OEC,FQH,WQR
ZJB -> NIQ,TRN,VUP,NCI,MQX
GTW -> OYN,YFK,PQ,TRG,TLU
AAA -> GRW,LZW,OOA,JVM,ZPJ
DUW -> YBI,DVE,HAT,QNE,UCZ
MWW -> OZH,QQQ,NOU,RKO,GZT
QON -> BOS,TAC,EVY,QPW,WYM
BCI -> XFU,YSJ,TCS,GOW,SHZ
GMA -> FVN,RRH,EXU,JDT,SLN
QSS -> MXC,VUO,CYO,EIR,FKQ
QXJ -> LRA,AMK,LDH,LJY,AGG
FIW -> YZA,TDK,ZMO,VDN,ETX
SG  -> UBL,IIA,QZN,BBD,YZL
DTO -> PAS,FSS,SFQ,SFR,ILY
RQL -> CVX,VJS,JGI,QUJ,DNN
PSI -> ULF,YZT,SEV,WLW,JAQ
KOD -> NEH,KES,BZM,DUK,UFP
AAK -> PIP,YVF,JOL,JYV,XHZ
MRD -> TNN,EHB,YEL,HGP,WEO
KKX -> GGL,QDU,QWC,HID,XY
UGP -> SNI,IAV,KNX,WHH,ZPS
HIY -> WKH,GTS,IKC,RAL,SQW
BKI -> PYQ,TDN,IQZ,IUY,YKN
YCT -> OOC,KKX,LSG,GSL,ATR
FTF -> RLL,OTK,QDY,XKW,NZH
JIT -> QSG,GIM,JSV,ZQL,WU
ELK -> WLN,LFJ,JDS,HOM,VPC
CJS -> DJA,TOU,KMZ,DCP,LGT
TZS -> PVV,UVO,BOO,EGZ,RRI
BEX -> UYR,OZW,VC,TBH,SWX
AXG -> WMZ,UIZ,HNO,IRV,WYT
NYT -> INN,ETZ,PNL,ZCY,OPO
QYA -> BGX,WVC,DAD,KAM,ZUX
QRA -> ICG,TUE,IPG,OEN,DHD
RPS -> INX,A,UUA,UOI,OTZ
GEL -> XXN,CBN,NUG,VYS,HHO
XTG -> APC,XVG,BAA,UML,NWO
RZK -> TKW,KZJ,ABV,OUG,YPC
KGB -> KCU,IYO,V,PEK,VSA
EQS -> BEY,MWU,LKR,NLC,JGA
KTC -> OHT,AAG,BWP,MOP,WXC
DOQ -> JE,ZXO,VSA,KPC,WCA
WTN -> FHQ,MTD,AJB,GRJ,FPB
HCD -> ZXL,KTS,RCM,VET,JYP
UDR -> LAZ,JRB,OFG,JCK,GAK
OOE -> LJX,UHO,QUM,NSR,DZA
VZL -> NNH,AJI,JZ,AYY,WQX
QQ  -> MDR,LIF,NKP,SDI,ZFD
UZZ -> ULD,MFS,YUX,FLS,WXV
FDM -> TLM,ZJZ,FQ,CSH,WBF
EZS -> PQH,PSF,FJH,UPP,WID
QNT -> QFA,GWT,ARV,CUT,IK
AWY -> FYL,QFQ,MPN,LYM,OXV
RSQ -> VLK,BM,DDV,WUN,HNJ
ZML -> AFC,EEJ,LYI,JSD,NXO
XEK -> ANL,ERW,MMM,KDG,OGC
SUP -> VJG,POW,LVL,IJA,IRD
UWT -> AHV,GYW,YDJ,LWR,JWY
LAT -> XON,ESZ,AMD,LIV,OMU
EXW -> FTV,LA,KKT,XEK,UQJ
QN  -> YK,OKM,NVZ,A,DI
GYL -> OFS,QCI,UPM,CVG,PRQ
CJF -> QHE,WFS,BCI,CNC,OHD
YIQ -> UQR,LSA,VBJ,CPG,CQE
PMW -> NFQ,ZCM,BIN,VHZ,LQI
CPD -> SDF,XCI,GYQ,KPO,FXO
BIW -> RJY,CXL,IDC,LGF,KIG
HRP -> UKU,JXJ,WOF,JAS,BUI
PSS -> FRT,FAE,ALM,JKV,ZJC
JCO -> UPS,RVR,VTH,XPD,PLH
FBU -> IP,FIB,VZJ,FCH,HHL
TMW -> KLB,MEX,LDC,WFG,VDI
CJQ -> AZF,KPC,OKA,UZB,EKH
OQV -> MJK,EBD,CHI,LCU,MMA
UIV -> CHO,EGN,EDG,FVJ,UNT
UPU -> UUM,LHU,CGG,CT,GBE
LXR -> LKP,YTJ,QJM,UYE,FWH
PCR -> HSX,UCO,MAK,IXA,WZH
PIB -> BHT,CVH,QXP,NIR,DST
JXA -> NUY,KIL,LID,YEV,EAC
BOZ -> CKX,VDL,LP,LZP,GFM
TCE -> QRN,HCQ,HCT,SWS,YIP
FHG -> SAT,RXN,FGH,TXP,QPK
QWJ -> QOT,RQS,OYL,RZB,HIY
WCI -> NWE,KWV,NWS,IPG,LCD
XZI -> LFG,EYM,MO,ENG,LER
BTZ -> NZN,PLS,FSA,GOL,EED
ASS -> HDC,AJC,LWC,JKY,TCF
WGH -> CVR,EQZ,OOS,ORS,GKW
YDD -> ERG,ONV,ZCF,ORT,SZ
RGJ -> KNQ,NXF,PQZ,JTT,YJW
XVT -> OCK,HNU,ZFN,ZBO,CYQ
KYQ -> ZZ,YFC,HOE,SUZ,UUA
JVI -> GLR,PNE,GNI,MCS,PGO
GVT -> OKV,QMP,ZGP,ERB,THQ
VPB -> IWP,ICX,MOX,HL,IPM
EHX -> ORX,JMD,AYV,FIX,EZG
FZF -> UUP,FPI,KA,BAB,DMJ
UIR -> GSJ,OLX,LRO,DDP,OTV
GKL -> PRR,TEE,GMP,QBP,QET
ILH -> XJF,MEZ,RKC,FSZ,AUL
DIJ -> DJJ,CRJ,GPN,HWH,QEV
KHY -> FDG,YOO,YRP,QIS,RYM
DEW -> QU,KGE,RSH,DAV,YLM
BFF -> BBI,JBG,WCG,STW,NNV
NZY -> LQB,IFM,HWE,OGJ,RIU
QDW -> HHC,EBE,QGC,MBD,JLM
VL  -> FQW,PZN,RAD,EZE,XQW
IZX -> AXC,PIK,SZQ,GRL,EVK
OXU -> YRU,JAU,ISS,GZI,VQF
GOO -> NZG,OVR,NAB,KYB,RNK
PRU -> YBX,BH,AJE,THD,EF
IHL -> LNH,LVT,QLS,CTQ,SOM
QDY -> PHU,TMY,GAN,HAN,MOJ
GKA -> FAM,ODR,OKW,QGL,WDB
ZLY -> GKG,FLG,YZM,TRT,BLY
TRN -> MQG,QYF,WM,BWF,BET
VDM -> CQK,PMC,YLY,QUS,JBI
SGS -> BKW,DK,ZAD,OBA,ZJC
LIE -> JYQ,MWZ,AUF,ZHU,RYB
ISC -> XSE,HLS,TR,ORF,VCN
RAP -> KCD,YS,YZQ,EIJ,KNC
RQH -> IZB,YYS,WPM,UOT,PHS
NBV -> YOP,LVC,LJZ,ARU,GDK
XZN -> MAS,JFS,WBT,VBW,ESS
IUD -> NVW,WVV,CUK,FFQ,JTA
RY  -> GLF,FMK,MJW,GIF,LOY
QAH -> TNC,HLB,SKZ,ETI,LPM
QBP -> JAL,ODL,TCQ,CYL,GME
HPX -> GLW,GIM,PZS,ZED,KUJ
OIA -> ZMN,NIQ,UVY,GMH,ZFA
RNX -> BZE,STJ,UOG,EDF,ITU
OJK -> UYC,EBA,HTB,AZA,EUD
UZL -> PDM,MRY,REF,IYR,SPH
PTB -> YER,RDS,RBP,ZLK,YIF
RM  -> LRQ,ZOH,FSQ,ESS,ZQA
VPQ -> PJR,LAW,ZYA,YUI,QV
RE  -> LDX,TBT,OOH,HJH,PNV
PPD -> PHB,ANW,ZNS,RJK,EZO
QLY -> EVT,RML,NXN,MXK,BI
UZI -> NAI,YOO,KYR,KFT,KGB
OFP -> XNU,MYW,VSS,XOH,MAR
MWY -> RXG,YCB,SAY,MCE,QIB
VSU -> SRP,LNL,PBF,EBR,VLM
SQW -> FPD,ZQK,VDP,WQL,WOW
LMF -> DWZ,URQ,XNK,VAO,XFH
YVX -> JMX,BRX,OVR,JIO,GMJ
OYS -> XNA,DRI,ZTN,ZIN,PGK
FGX -> MYQ,MSI,JVF,ICC,DWP
NDF -> XUQ,OZB,AVE,ZZE,VYJ
BKG -> SUJ,KDO,DGD,SQS,XEZ
DSZ -> CGM,NRQ,QSD,GJY,YFH
FLQ -> ZYD,MBX,YCF,FVC,DYI
JGZ -> OEY,UIW,BFO,RRE,YWK
QGA -> BYR,NDD,OUP,LKU,FEF
PQA -> NON,BBQ,BUA,PTH,YOI
JXN -> TUX,KHF,POW,RJH,ZNK
KWP -> CNC,NOM,XEL,VHA,ZYE
GTN -> KUD,JAZ,CFS,FJD,CDS
OWN -> HLP,DMM,SVP,JDM,ETP
SPX -> VQC,UCV,WUW,HAZ,TOS
GUM -> SSN,XSJ,JSJ,LWV,JSP
WAC -> MST,LJP,YXC,FWN,REJ
